1,2
2,5
3,8
4,13
5,26
6,27
7,47
8,51
9,53
10,56
11,57
12,61
13,64
14,78
15,100
16,102
17,102
18,106
19,124
20,139
21,145
22,154
23,159
24,164
25,165
26,190
27,202
28,222
29,232
30,232
31,242
32,250
33,261
34,263
35,264
36,265
37,265
38,269
39,281
40,282
41,285
42,287
43,293
44,298
45,304
46,311
47,311
48,317
49,321
50,327
51,351
52,375
53,383
54,385
55,391
56,396
57,404
58,417
59,418
60,419
61,420
62,422
63,432
64,438
65,438
66,441
67,448
68,452
69,454
70,455
71,458
72,459
73,468
74,468
75,478
76,484
77,487
78,504
79,514
80,517
81,523
82,530
83,537
84,559
85,564
86,567
87,568
88,573
89,579
90,580
91,580
92,583
93,584
94,588
95,594
96,595
97,597
98,604
99,606
100,617
101,643
102,645
103,651
104,655
105,658
106,677
107,690
108,700
109,700
110,707
111,714
112,731
113,764
114,779
115,779
116,793
117,796
118,801
119,803
120,803
121,819
122,820
123,820
124,830
125,835
126,840
127,847
128,849
129,871
130,871
131,882
132,885
133,888
134,902
135,909
136,913
137,914
138,917
139,919
140,923
141,942
142,950
143,952
144,957
145,966
146,969
147,969
148,973
149,982
150,983
151,986
152,995
153,1002
154,1005
155,1018
156,1033
157,1047
158,1062
159,1063
160,1085
161,1098
162,1101
163,1114
164,1130
165,1148
166,1159
167,1159
168,1162
169,1166
170,1169
171,1173
172,1184
173,1202
174,1224
175,1269
176,1269
177,1277
178,1277
179,1285
180,1287
181,1305
182,1311
183,1313
184,1317
185,1334
186,1351
187,1354
188,1362
189,1366
190,1370
191,1376
192,1382
193,1386
194,1396
195,1408
196,1411
197,1419
198,1421
199,1438
200,1444
201,1448
202,1451
203,1453
204,1456
205,1459
206,1480
207,1489
208,1492
209,1505
210,1514
211,1534
212,1544
213,1546
214,1556
215,1562
216,1592
217,1595
218,1597
219,1611
220,1615
221,1616
222,1636
223,1636
224,1641
225,1642
226,1644
227,1647
228,1648
229,1654
230,1662
231,1664
232,1686
233,1695
234,1697
235,1703
236,1717
237,1719
238,1719
239,1732
240,1735
241,1738
242,1748
243,1748
244,1749
245,1752
246,1759
247,1766
248,1771
249,1782
250,1790
251,1793
252,1794
253,1796
254,1798
255,1802
256,1804
257,1817
258,1819
259,1830
260,1834
261,1853
262,1854
263,1855
264,1857
265,1862
266,1863
267,1873
268,1888
269,1897
270,1900
271,1927
272,1928
273,1930
274,1943
275,1945
276,1949
277,1959
278,1962
279,1966
280,1987
281,1990
282,1992
283,1993
284,2003
285,2011
286,2013
287,2030
288,2039
289,2041
290,2048
291,2052
292,2063
293,2075
294,2077
295,2080
296,2081
297,2083
298,2098
299,2098
300,2114
301,2123
302,2124
303,2125
304,2126
305,2157
306,2160
307,2185
308,2192
309,2193
310,2197
311,2203
312,2212
313,2216
314,2220
315,2228
316,2234
317,2236
318,2237
319,2238
320,2238
321,2244
322,2245
323,2247
324,2251
325,2253
326,2256
327,2260
328,2264
329,2267
330,2289
331,2290
332,2297
333,2298
334,2301
335,2302
336,2320
337,2327
338,2344
339,2346
340,2354
341,2368
342,2369
343,2372
344,2380
345,2382
346,2392
